Player_Name,college,Games_Played,Year,Team,Field_Goal_Percentage,Free_Throw_Percentage,Total_Assists,Total_Points,id
"Ed Sadowski","Seton Hall University",17,1950,PHW,0.31,0.69,39,146,245
"Ed Sadowski","Seton Hall University",52,1950,BLB,0.33,0.75,97,726,246
"Kenny Sailors","University of Wyoming",57,1950,DNN,0.35,0.72,229,987,247
"Pep Saul","Seton Hall University",49,1950,ROC,0.4,0.72,28,182,248
"Herm Schaefer","Indiana University",65,1950,MNL,0.39,0.85,203,330,249
"Marv Schatzman","Saint Louis University",34,1950,BLB,0.25,0.58,38,115,250
"Fred Schaus","West Virginia University",68,1950,FTW,0.35,0.82,176,972,251
"Dolph Schayes*","New York University",64,1950,SYR,0.39,0.77,259,1072,252
"Milt Schoon","Valparaiso University",62,1950,SHE,0.41,0.65,84,496,253
"Howie Schultz","Hamline University",67,1950,TOT,0.27,0.7,169,554,254
"Howie Schultz","Hamline University",35,1950,AND,0.26,0.73,88,283,255
"Howie Schultz","Hamline University",32,1950,FTW,0.27,0.65,81,271,256
"Dick Schulz","University of Wisconsin",50,1950,TOT,0.3,0.76,66,209,257
"Dick Schulz","University of Wisconsin",13,1950,WSC,0.27,0.68,10,43,258
"Dick Schulz","University of Wisconsin",8,1950,TRI,0.29,0.71,8,41,259
"Dick Schulz","University of Wisconsin",29,1950,SHE,0.31,0.8,48,125,260
"Fred Scolari","University of San Francisco",66,1950,WSC,0.34,0.82,175,860,261
"Wayne See","Northern Arizona University",61,1950,WAT,0.37,0.7,143,320,262
"Glen Selbo","University of Wisconsin",13,1950,SHE,0.2,0.76,23,42,263
"Rollie Seltz","Hamline University",34,1950,AND,0.3,0.77,64,266,264
"Jim Seminoff","University of Southern California",65,1950,BOS,0.3,0.76,249,312,265
"George Senesky","Saint Joseph's University",68,1950,PHW,0.32,0.7,264,611,266
"Paul Seymour","University of Toledo",62,1950,SYR,0.33,0.72,189,476,267
"Carl Shaeffer","University of Alabama",43,1950,INO,0.37,0.56,40,150,268
"Howie Shannon","Kansas State University",67,1950,BOS,0.34,0.79,174,587,269
"Charley Shipp","Catholic University of America",23,1950,WAT,0.26,0.73,46,107,270
"Connie Simmons",NULL,60,1950,NYK,0.33,0.66,102,680,271
"Belus Smawley","Appalachian State University",61,1950,STB,0.35,0.83,215,834,272
"Jack Smiley","University of Illinois at Urbana-Champaign",59,1950,TOT,0.27,0.68,161,332,273
"Jack Smiley","University of Illinois at Urbana-Champaign",12,1950,AND,0.12,0.5,14,24,274
"Jack Smiley","University of Illinois at Urbana-Champaign",47,1950,WAT,0.29,0.7,147,308,275
"Chips Sobek","University of Notre Dame",60,1950,SHE,0.38,0.76,95,346,276
"Odie Spears","Western Kentucky University",68,1950,CHS,0.36,0.69,159,712,277
"Art Spector","Villanova University",7,1950,BOS,0.17,0.25,3,5,278
"Ed Stanczak",NULL,57,1950,AND,0.35,0.75,67,521,279
"Gene Stump","DePaul University",49,1950,TOT,0.3,0.69,44,163,280
"Gene Stump","DePaul University",23,1950,MNL,0.28,0.5,23,61,281
"Gene Stump","DePaul University",26,1950,WAT,0.31,0.75,21,102,282
"Mike Todorovich","University of Wyoming",65,1950,TOT,0.31,0.72,207,792,283
"Mike Todorovich","University of Wyoming",14,1950,STB,0.27,0.63,19,97,284
"Mike Todorovich","University of Wyoming",51,1950,TRI,0.32,0.74,188,695,285
"Jack Toomay","University of the Pacific",62,1950,DNN,0.4,0.71,94,594,286
"Bob Tough","St. John's University",29,1950,TOT,0.28,0.68,38,113,287
"Bob Tough","St. John's University",8,1950,BLB,0.28,0.83,2,27,288
"Bob Tough","St. John's University",21,1950,WAT,0.28,0.65,36,86,289
"Blackie Towery","Western Kentucky University",68,1950,BLB,0.33,0.76,142,597,290
"Dick Triptow","DePaul University",4,1950,BLB,0,1,1,2,291
"Butch Van",NULL,56,1950,NYK,0.33,0.72,78,206,292
"Gene Vance","University of Illinois at Urbana-Champaign",35,1950,TRI,0.34,0.72,121,306,293
"Ernie Vandeweghe","Colgate University",42,1950,NYK,0.42,0.66,78,421,294
"Floyd Volker","University of Wyoming",54,1950,TOT,0.31,0.55,112,397,295
"Floyd Volker","University of Wyoming",17,1950,INO,0.32,0.39,7,41,296
"Floyd Volker","University of Wyoming",37,1950,DNN,0.31,0.58,105,356,297
"Whitey Von",NULL,59,1950,TOT,0.36,0.64,143,313,298
"Whitey Von",NULL,26,1950,TRI,0.35,0.63,36,109,299
"Whitey Von",NULL,33,1950,BLB,0.36,0.64,107,204,300
"Clint Wager","Saint Mary's University of Minnesota",63,1950,FTW,0.28,0.62,90,143,301
"Danny Wagner","University of Texas at Austin",11,1950,SHE,0.35,0.89,18,69,302
"Brady Walker","Brigham Young University",68,1950,BOS,0.37,0.63,109,508,303
"Paul Walther","University of Tennessee",53,1950,TOT,0.39,0.58,56,291,304
"Paul Walther","University of Tennessee",22,1950,MNL,0.4,0.52,10,75,305
"Paul Walther","University of Tennessee",31,1950,INO,0.39,0.59,46,216,306
"Bobby Wanzer*","Seton Hall University",67,1950,ROC,0.41,0.81,214,791,307
"Murray Wier","University of Iowa",56,1950,TRI,0.33,0.69,107,429,308
"D.C. Wilcutt",NULL,37,1950,STB,0.33,0.69,49,77,309
"Bob Wood","Northern Illinois University",6,1950,SHE,0.21,1,1,7,310
"Max Zaslofsky","St. John's University",68,1950,CHS,0.35,0.84,155,1115,311
"Paul Arizin*","Villanova University",65,1951,PHW,0.41,0.79,138,1121,313
"Curly Armstrong","Indiana University",38,1951,FTW,0.31,0.64,77,202,314
"Cliff Barker","University of Kentucky",56,1951,INO,0.25,0.65,115,152,315
"Leo Barnhorst","University of Notre Dame",68,1951,INO,0.35,0.69,218,546,316
"Ed Bartels","North Carolina State University",17,1951,WSC,0.25,0.52,12,72,317
"Ed Beach","West Virginia University",12,1951,TOT,0.21,0.67,3,22,318
"Ed Beach","West Virginia University",11,1951,MNL,0.23,0.67,2,22,319
"Ed Beach","West Virginia University",1,1951,TRI,0,NULL,1,0,320
"Ralph Beard","University of Kentucky",66,1951,INO,0.37,0.78,318,1111,321
"Leon Blevins","University of Arizona",2,1951,INO,0.25,0,1,2,322
"Nelson Bobb","Temple University",53,1951,PHW,0.33,0.56,82,148,323
"Ike Borsavage","Temple University",24,1951,PHW,0.35,0.67,4,64,324
"Vince Boryla","University of Denver",66,1951,NYK,0.41,0.84,182,982,325
"Harry Boykoff","St. John's University",48,1951,TOT,0.38,0.74,60,326,326
"Harry Boykoff","St. John's University",32,1951,BOS,0.38,0.71,40,201,327
"Harry Boykoff","St. John's University",16,1951,TRI,0.36,0.78,20,125,328
"Frankie Brian","Louisiana State University",68,1951,TRI,0.32,0.82,266,1144,329
"Walt Budko","Columbia University",64,1951,BLB,0.36,0.74,135,496,330
"Art Burris","University of Tennessee",33,1951,FTW,0.25,0.58,27,77,331
"Tommy Byrnes","Seton Hall University",47,1951,TOT,0.3,0.66,69,217,332
"Tommy Byrnes","Seton Hall University",16,1951,BLB,0.35,0.71,21,90,333
"Tommy Byrnes","Seton Hall University",12,1951,WSC,0.2,0.52,16,40,334
"Tommy Byrnes","Seton Hall University",19,1951,TRI,0.32,0.72,32,87,335
"Gerry Calabrese","St. John's University",46,1951,SYR,0.36,0.69,65,201,336
"Bill Calhoun","City College of San Francisco",66,1951,ROC,0.35,0.71,99,511,337
"Don Carlson","University of Minnesota",9,1951,BLB,0.37,0.5,19,42,338
"Bob Carpenter","East Texas State University",56,1951,TOT,0.33,0.82,79,323,339
"Bob Carpenter","East Texas State University",21,1951,FTW,0.22,0.81,16,101,340
"Bob Carpenter","East Texas State University",35,1951,TRI,0.39,0.83,63,222,341
"Al Cervi*",NULL,53,1951,SYR,0.38,0.82,208,458,342
"Leroy Chollet","Canisius College",14,1951,SYR,0.12,0.63,12,24,343
"Cal Christensen","University of Toledo",67,1951,TRI,0.3,0.71,161,443,344
"Nat Clifton*","Xavier University of Louisiana",65,1951,NYK,0.32,0.53,162,562,345
"Bill Closs","Rice University",65,1951,PHW,0.32,0.74,110,570,346
